時代,料理,必要素材,必要技術,必要道具,素材ID,技術ID,道具ID,メッセージ
縄文,焼き魚,川魚（鮎・鮭）,火の利用（焼く）,,kawazakana,hiyaki,,川魚を焼く方法を発見！焼き魚が広く食べられるようになった！
縄文,煮魚,川魚（鮎・鮭）,煮る,縄文土器,kawazakana,niru,jomondoki,川魚を縄文土器で煮る方法を発見！煮魚が広く食べられるようになった！
縄文,干し魚,川魚（鮎・鮭）,干す,,kawazakana,hosu,,川魚を干して保存する方法を発見！干し魚が作られるようになった！
縄文,貝の煮込み,貝,煮る,縄文土器,kai,niru,jomondoki,貝を縄文土器で煮る方法を発見！貝の煮込みが広く食べられるようになった！
縄文,縄文クッキー,ドングリ,火の利用（焼く）,石皿,donguri,hiyaki,ishizara,ドングリを石皿で焼く方法を発見！縄文クッキーが広く食べられるようになった！
縄文,焼き鹿肉,鹿肉,火の利用（焼く）,,shikaniku,hiyaki,,鹿肉を焼く方法を発見！焼き鹿肉が広く食べられるようになった！
縄文,鹿肉煮込み,鹿肉,煮る,縄文土器,shikaniku,niru,jomondoki,鹿肉を縄文土器で煮る方法を発見！鹿肉煮込みが広く食べられるようになった！
縄文,干し肉,鹿肉,干す,,shikaniku,hosu,,鹿肉を干して保存する方法を発見！干し肉が作られるようになった！
弥生,粥,米,煮る,弥生土器,kome,niru,yayoidoki,米を煮る方法を発見！粥が広く食べられるようになった！
弥生,なれずし,川魚（鮎・鮭）,発酵Lv1（どぶろく・なれずし）,弥生土器,kawazakana,hakkou1,yayoidoki,川魚を発酵させて保存する方法を発見！なれずしが作られるようになった！
弥生,どぶろく,米,発酵Lv1（どぶろく・なれずし）,弥生土器,kome,hakkou1,yayoidoki,米を発酵させる方法を発見！どぶろくが広く飲まれるようになった！
弥生,干し米,米,干す,弥生土器,kome,hosu,yayoidoki,煮た米を干して保存する方法を発見！干し米が作られるようになった！
弥生,蒸し大豆,大豆,蒸す,こしき,daizu,musu,koshiki,こしきを使って大豆を蒸す方法を発見！蒸し大豆が広く食べられるようになった！
弥生,魚の切り身焼き,川魚（鮎・鮭）,切る,石包丁,kawazakana,kiru,isiboucho,石包丁で魚を切り分ける方法を発見！切り身を焼く料理が広く食べられるようになった！
古墳・奈良,ご飯,米,炊く,釜,kome,taku,kama,米を釜で炊く方法を発見！ご飯が広く食べられるようになった！
古墳・奈良,あつもの,野菜Lv1（大根・ごぼう）,煮る,釜,yasai1,niru,kama,野菜や豆を釜で茹でた「あつもの」が広まる。煮物の原点。
古墳・奈良,魚の塩漬け,海魚Lv1（鯖・鯛）,塩漬け,,kaigyo1,shiotsuke,,海魚を塩漬けにすることにより長期保存が可能に。広く普及するようになった！
古墳・奈良,餅,米,炊く,臼と杵,kome,taku,usukine,米を臼と杵でついて餅がつくられるようになる。手軽な保存食として広まる。
平安・鎌倉,味噌汁,味噌,,釜,miso,,kama,味噌をお湯でといた味噌汁が誕生。ご飯と並ぶ日本食の基盤。
平安・鎌倉,精進料理,豆腐,精進料理技術,包丁Lv1,tofu,shojintech,houchou1,植物のみを使った精進料理が確立。季節感あふれる膳が並ぶ。
平安・鎌倉,煮物,醤油,出汁とりLv1,鉄鍋,shoyu,dashi1,tetsunabe,野菜を醤油で煮込んだ煮物が普及。和食の定番に。
平安・鎌倉,漬物,野菜Lv2（ナス・きゅうり）,漬物技術,かめ,yasai2,tsukemonotech,kame,野菜を塩や味噌で漬た漬物が普及。保存性と味を兼ね備えた副菜に。
