時代,分類,id,name,メッセージ
縄文,素材,shio,塩,塩が使われるようになった。料理の味・保存の基本。
縄文,素材,kawazakana,川魚（鮎・鮭）,川魚を発見。食卓に彩りをもたらす。
縄文,素材,kai,貝,貝を採取。食材の幅が広がる。
縄文,素材,donguri,ドングリ,ドングリを採取。加工し長期保存が可能。
縄文,素材,shikaniku,鹿肉,鹿の狩猟に成功。栄養豊富な肉が活力をもたらす。
縄文,技術,hiyaki,火の利用（焼く）,火で食材を焼く技術を発見。調理法が広まる。
縄文,技術,niru,煮る,煮る技術を発見。柔らかい食事が可能に。
縄文,技術,hosu,干す,干すの方法を発見。保存が可能になる。
縄文,道具,ishizara,石皿,石皿が作られる。火で熱して焼く調理法が広まる。
縄文,道具,jomondoki,縄文土器,縄文土器が作られる。煮込みの調理法が広まる。
弥生,素材,kome,米,米作りが広まる。人々の主食となる。
弥生,素材,daizu,大豆,大豆が伝わる。味噌の原料となる。
弥生,技術,hakkou1,発酵Lv1（どぶろく・なれずし）,発酵技術が伝わる。保存食と酒が生まれる。
弥生,技術,musu,蒸す,蒸す技術を発見。蒸気を利用した蒸し料理が可能に。
弥生,技術,kiru,切る,食材を切り分ける技術が生まれた。調理の下ごしらえが容易になり、料理の幅が広がる。
弥生,道具,yayoidoki,弥生土器,弥生土器が作られる。煮込みがより便利に。
弥生,道具,koshiki,こしき,こしき(甑)が作られる。蒸気を使った調理が可能になり、蒸し料理が広まる。
弥生,道具,isiboucho,石包丁,石包丁が普及。食材を切り分けるために使用。
古墳・奈良,素材,yasai1,野菜Lv1（大根・ごぼう）,野菜の栽培が広まる。大根、ごぼう、ねぎ、サトイモなど。
古墳・奈良,素材,komugiko,小麦粉,小麦栽培が広まる。団子状にして茹でて食べられる。
古墳・奈良,素材,kaigyo1,海魚Lv1（鯖・鯛）,保存技術が進化し海魚が普及。
古墳・奈良,素材,miso,味噌,発酵技術が進化し味噌が普及。
古墳・奈良,素材,sansho,山椒,山椒が普及。香辛料として料理の風味づけに使用。
古墳・奈良,技術,taku,炊く,炊く技術が定着。米の美味しさが普及。
古墳・奈良,技術,shiotsuke,塩漬け,塩漬け技術が伝わる。魚や野菜の保存が可能に。
古墳・奈良,道具,kama,釜,土器の生成技術が進化し釜が作られる。煮炊きに活用。
古墳・奈良,道具,kame,かめ,かめの使用が一般化。発酵や保存に便利。
古墳・奈良,道具,usukine,臼と杵,臼と杵が伝わる。餅作りや穀物加工に使用。
平安・鎌倉,素材,tofu,豆腐,豆腐の作り方が伝わる。精進料理にたんぱくの旨味を添える。
平安・鎌倉,素材,shoyu,醤油,味噌作りの過程から醤油を発見。料理の旨味をさらに深め、保存性も向上。
平安・鎌倉,素材,yasai2,野菜Lv2（ナス・きゅうり）,ナス、きゅうり、ネギなどの栽培が広まる。
平安・鎌倉,技術,shojintech,精進料理技術,禅寺で精進料理技術が発展。ゴマ豆腐や高野豆腐などが作られる。
平安・鎌倉,技術,dashi1,出汁とりLv1,昆布や干し椎茸から出汁をとる技術が発展。料理に味わいを深める。
